first_name,last_name,age,email,location_city,location_state,contacts_or_eyeglasses,vision_insurance
Jamie,Gullbrand,25,jamie.gullbrand@email.com,Boston,Massachusetts,none,yes
Zach,Tomkins,29,zach@email.com,Portland,Maine,contacts,no
Adam,Jones,21,adamjones@email.com,Portland,Maine,eyeglasses,no
Mookie,Betts,26,mookie@sox.com,Boston,Massachusetts,none,yes
Tom,Gardiner,29,tom@email.com,Portland,Maine,contacts,no
Grant,Gardiner,35,grant@email.com,Portland,Maine,contacts,no
Timothy,Gardiner,37,timothy@email.com,Portland,Maine,contacts,no
Alex,Cora,45,alex@sox.com,Boston,Massachusetts,contacts,yes
Judy,Alison,69,judy@email.com,Buxton,Maine,eyeglasses,yes
Jerry,Alison,72,jerry@email.com,Buxton,Maine,eyeglasses,no
