,FIRST NAME,LAST NAME,age,EMAIL ADDRESS,location_city,location_state,contacts_or_eyeglasses,vision_insurance,customer_number,current_customer,age_discount,eye_exam_cost,age_ten_years_ago,Excited Name!,UPPERCASE NAME,first_initial,Older than 65?,Total Price including age discount if older than 65,customer_basic_info
0,Jamie,Gullbrand,25,jamie.gullbrand@email.com,Boston,Massachusetts,none,yes,2,Yes,0.8,150,15,Jamie!!!,JAMIE,J,False,150.0,"Full Name: Jamie Gullbrand, Email: jamie.gullbrand@email.com, Age: 25"
1,Zach,Tomkins,29,zach@email.com,Portland,Maine,contacts,no,32,Yes,0.8,150,19,Zach!!!,ZACH,Z,False,150.0,"Full Name: Zach Tomkins, Email: zach@email.com, Age: 29"
2,Adam,Jones,21,adamjones@email.com,Portland,Maine,eyeglasses,no,49,Yes,0.8,150,11,Adam!!!,ADAM,A,False,150.0,"Full Name: Adam Jones, Email: adamjones@email.com, Age: 21"
3,Mookie,Betts,26,mookie@sox.com,Boston,Massachusetts,none,yes,78,Yes,0.8,150,16,Mookie!!!,MOOKIE,M,False,150.0,"Full Name: Mookie Betts, Email: mookie@sox.com, Age: 26"
4,Tom,Gardiner,29,tom@email.com,Portland,Maine,contacts,no,82,Yes,0.8,150,19,Tom!!!,TOM,T,False,150.0,"Full Name: Tom Gardiner, Email: tom@email.com, Age: 29"
5,Grant,Gardiner,35,grant@email.com,Portland,Maine,contacts,no,99,Yes,0.8,150,25,Grant!!!,GRANT,G,False,150.0,"Full Name: Grant Gardiner, Email: grant@email.com, Age: 35"
6,Timothy,Gardiner,37,timothy@email.com,Portland,Maine,contacts,no,103,Yes,0.8,150,27,Timothy!!!,TIMOTHY,T,False,150.0,"Full Name: Timothy Gardiner, Email: timothy@email.com, Age: 37"
7,Alex,Cora,45,alex@sox.com,Boston,Massachusetts,contacts,yes,109,Yes,0.8,150,35,Alex!!!,ALEX,A,False,150.0,"Full Name: Alex Cora, Email: alex@sox.com, Age: 45"
8,Judy,Alison,69,judy@email.com,Buxton,Maine,eyeglasses,yes,201,Yes,0.8,150,59,Judy!!!,JUDY,J,True,120.0,"Full Name: Judy Alison, Email: judy@email.com, Age: 69"
9,Jerry,Alison,72,jerry@email.com,Buxton,Maine,eyeglasses,no,250,Yes,0.8,150,62,Jerry!!!,JERRY,J,True,120.0,"Full Name: Jerry Alison, Email: jerry@email.com, Age: 72"
